sample,species,nReads
CP_201708,Skeletonema dohrnii,36
CP_201708,Stephanopyxis turris,3
CP_201708,Styela gibbsii,14417
CP_201708,Thalassiosira nordenskioeldii,7770
CP_201708,Thalassiosira punctigera,18
CP_201708,Triparma laevis,145
CP_201708,NA,189295
CP_201709,Anisolpidium ectocarpii,76
CP_201709,Attheya longicornis,12
CP_201709,Azumapecten farreri,98
CP_201709,Bathycoccus prasinos,113421
CP_201709,Blastocladiella emersonii,47
CP_201709,Bougainvillia muscus,1965
CP_201709,Campanularia volubilis,65
CP_201709,Chattonella subsalsa,27
CP_201709,Chondracanthus exasperatus,10
CP_201709,Chrysochromulina sp. CCMP291,111
CP_201709,Coryne eximia,164
CP_201709,Coscinodiscus wailesii,474
CP_201709,Cylindrotheca closterium,84
CP_201709,Dendraster excentricus,4
CP_201709,Dictyocha speculum,188
CP_201709,Dolichomastix tenuilepis,28
CP_201709,Emiliania huxleyi,801
CP_201709,Eunice valens,841
CP_201709,Halichondria panicea,48
CP_201709,Heterocapsa rotundata,4451
CP_201709,Homo sapiens,48
CP_201709,Mazzaella rosea,9
CP_201709,Mazzaella splendens,236
CP_201709,Membranipora membranacea,38
CP_201709,Micromonas pusilla,37595
CP_201709,Minutocellus polymorphus,23857
CP_201709,Navicula cryptocephala,3
CP_201709,Navicula ramosissima,13
CP_201709,Nitzschia cf. promare,29
CP_201709,Orthopyxis integra,16
CP_201709,Paracalanus sp. C AC-2013,25
CP_201709,Pedospumella sinomuralis,16
CP_201709,Phacellophora camtschatica,30
CP_201709,Phaeocystis antarctica,1676
CP_201709,Phaeocystis globosa,330
CP_201709,Plumularia lagenifera,33
CP_201709,Polyneura latissima,103
CP_201709,Polysiphonia hendryi,22
CP_201709,Poteriospumella lacustris,2
CP_201709,Protoperidinium cf. depressum,49
CP_201709,Pseudocalanus newmani,3014
CP_201709,Pseudochattonella farcimen,95
CP_201709,Pycnococcus provasolii,690
CP_201709,Pythium tracheiphilum,511
CP_201709,Ralfsioid sp. 4GWS,15
CP_201709,Rhizosolenia setigera,33
CP_201709,Saprolegnia diclina,3
CP_201709,Sarcodiotheca sp. 2gaudichaudii,43
CP_201709,Skeletonema cf. pseudocostatum,6
CP_201709,Skeletonema dohrnii,2
CP_201709,Stelligera rigida,97
CP_201709,Thalassiosira nordenskioeldii,7547
CP_201709,Thelepus cincinnatus,35
CP_201709,NA,109821
CP_201710,Amathia vidovici,7
CP_201710,Ammodytes hexapterus,289
CP_201710,Attheya longicornis,15
CP_201710,Balanus glandula,90
CP_201710,Bathycoccus prasinos,46110
CP_201710,Blastocladiella emersonii,149
CP_201710,Boccardia proboscidea,310
CP_201710,Callophyllis flabellulata,119
CP_201710,Chaetoceros socialis,58
CP_201710,Chattonella subsalsa,1044
CP_201710,Chrysaora melanaster,9
CP_201710,Chrysochromulina sp. CCMP291,88
CP_201710,Corallina vancouveriensis,46
CP_201710,Coscinodiscus wailesii,167
CP_201710,Cylindrotheca closterium,21
CP_201710,Dendraster excentricus,36892
CP_201710,Devaleraea mollis,229
CP_201710,Dictyocha speculum,351
CP_201710,Ditylum brightwellii,341
CP_201710,Emiliania huxleyi,104
CP_201710,Enophrys bison,4
CP_201710,Euclymene sp. BOLD:ACG1020,306
CP_201710,Eunice valens,320
CP_201710,Fucus distichus,769
CP_201710,Halichondria panicea,397
CP_201710,Haliclystus sanjuanensis,338
CP_201710,Hecatonema maculans,135
CP_201710,Hematodinium sp.,10
CP_201710,Heterocapsa rotundata,2328
CP_201710,Hildenbrandia sp. 27GWS,993
CP_201710,Hincksia hincksiae,6
CP_201710,Homo sapiens,1144
CP_201710,Laminariocolax aecidioides,9
CP_201710,Littorina scutulata,14
CP_201710,Littorina sitkana,54
CP_201710,Lottia paradigitalis,551
CP_201710,Manania gwilliami,18
CP_201710,Mastocarpus alaskensis,2434
CP_201710,Mazzaella sp. GWS-2013b,32
CP_201710,Mazzaella splendens,270
CP_201710,Membranipora membranacea,41
CP_201710,Mesocentrotus franciscanus,15
CP_201710,Microcladia coulteri,49
CP_201710,Micromonas pusilla,9536
CP_201710,Minutocellus polymorphus,42851
CP_201710,Muggiaea atlantica,13
CP_201710,Naineris dendritica CMC02,6
CP_201710,Navicula ramosissima,3
CP_201710,Navicula sp. BOLD:AAO6951,20
CP_201710,Neorhodomela oregona,12
CP_201710,Nereis vexillosa,119
CP_201710,Nereocystis luetkeana,334
CP_201710,Nicolea zostericola,2
CP_201710,Oncorhynchus keta,157
CP_201710,Orthopyxis integra,5
CP_201710,Paracalanus sp. C AC-2013,18
CP_201710,Pedospumella sinomuralis,5
CP_201710,Penicillium sclerotiorum,59
CP_201710,Phacellophora camtschatica,6192
CP_201710,Phaeocystis antarctica,510
CP_201710,Phaeocystis globosa,603
CP_201710,Phytophthora taxon paludosa,14
CP_201710,Platynereis bicanaliculata,4
CP_201710,Platynereis sp. CMC02,3
CP_201710,Poteriospumella lacustris,112
CP_201710,Prionitis sternbergii,157
CP_201710,Protoperidinium cf. depressum,475
CP_201710,Pseudocalanus moultoni,5
CP_201710,Pseudocalanus newmani,3200
CP_201710,Pseudochattonella farcimen,2153
CP_201710,Pycnococcus provasolii,124
CP_201710,Pyramimonas parkeae,13
CP_201710,Pyropia perforata,134
CP_201710,Pythium acanthicum,26
CP_201710,Pythium pachycaule,28
CP_201710,Pythium tracheiphilum,1115
CP_201710,Ralfsioid sp. 4GWS,104
CP_201710,Rhizosolenia setigera,1681
CP_201710,Scopalina ruetzleri,6
CP_201710,Sellaphora pupula,27
CP_201710,Semibalanus cariosus,30
CP_201710,Skeletonema japonicum,8
CP_201710,Smithora naiadum,148
CP_201710,Stephanopyxis turris,16
CP_201710,Thalassiosira nordenskioeldii,19579
CP_201710,Thalassiosira punctigera,50
CP_201710,Thecamonas trahens,6
CP_201710,Thelepus crispus,459
CP_201710,Thelepus sp. CMC01,306
CP_201710,Triparma laevis,139
CP_201710,Urile penicillatus,2175
CP_201710,Wildemania sp. 5POR,41
CP_201710,NA,205785
CP_201711,Acartia longiremis,16
CP_201711,Attheya longicornis,4
CP_201711,Azumapecten farreri,4
CP_201711,Balanus glandula,208
CP_201711,Bathycoccus prasinos,44203
CP_201711,Blastocladiella emersonii,37
CP_201711,Boccardia proboscidea,86
CP_201711,Cafeteria roenbergensis,4
CP_201711,Calanus pacificus,5
CP_201711,Callophyllis flabellulata,11
CP_201711,Carcinonemertes errans,53
CP_201711,Centropages abdominalis,88
CP_201711,Chaetoceros socialis,26
CP_201711,Chattonella subsalsa,172
CP_201711,Chondracanthus exasperatus,29
CP_201711,Chrysochromulina sp. CCMP291,5
CP_201711,Chthamalus dalli,341
CP_201711,Cliona chilensis,51
CP_201711,Corallina vancouveriensis,19
CP_201711,Coscinodiscus wailesii,49
CP_201711,Cylindrotheca closterium,5
CP_201711,Dasybranchus sp. DH1,60
CP_201711,Dendraster excentricus,61
CP_201711,Dictyocha speculum,311
CP_201711,Ditylum brightwellii,10
CP_201711,Emiliania huxleyi,114
CP_201711,Emplectonema sp. 1 TCH-2015,39
CP_201711,Euclymene sp. BOLD:ACG1020,9
CP_201711,Eunice valens,70
CP_201711,Fucus distichus,163
CP_201711,Halichondria panicea,167
CP_201711,Haliclystus sanjuanensis,10
CP_201711,Hecatonema maculans,10
CP_201711,Heterocapsa rotundata,586
CP_201711,Hildenbrandia sp. 27GWS,303
CP_201711,Hincksia hincksiae,18
CP_201711,Homo sapiens,238
CP_201711,Laminariocolax aecidioides,14
CP_201711,Lepidodinium chlorophorum,82
CP_201711,Liparis florae,348
CP_201711,Littorina plena,1415
CP_201711,Littorina scutulata,56
CP_201711,Littorina sitkana,96
CP_201711,Lottia paradigitalis,87
CP_201711,Manania gwilliami,18
CP_201711,Mastocarpus alaskensis,106
CP_201711,Mazzaella splendens,4
CP_201711,Membranipora membranacea,9
CP_201711,Micromonas pusilla,18811
CP_201711,Minutocellus polymorphus,10394
CP_201711,Mytilus trossulus,325
CP_201711,Navicula sp. BOLD:AAO6950,14
CP_201711,Navicula sp. BOLD:AAO6951,3
CP_201711,Nereis vexillosa,351
CP_201711,Nitzschia cf. promare,6
CP_201711,Ostrea lurida,5
CP_201711,Penicillium sclerotiorum,25
CP_201711,Petalonia fascia,5
CP_201711,Phacellophora camtschatica,3
CP_201711,Phaeocystis antarctica,3070
CP_201711,Phaeocystis globosa,363
CP_201711,Phoca vitulina,4
CP_201711,Platynereis bicanaliculata,179
CP_201711,Polycirrus sp. CMC06,16
CP_201711,Prionitis sternbergii,35
CP_201711,Pseudocalanus newmani,32
CP_201711,Pseudochattonella farcimen,49
CP_201711,Pycnococcus provasolii,80
CP_201711,Pyropia fallax,2
CP_201711,Pyropia perforata,16
CP_201711,Pythium acanthicum,140
CP_201711,Pythium pachycaule,23
CP_201711,Pythium tracheiphilum,382
CP_201711,Ralfsioid sp. 4GWS,589
CP_201711,Rhizosolenia setigera,51
CP_201711,Saprolegnia diclina,24
CP_201711,Scopalina ruetzleri,3
CP_201711,Sellaphora pupula,119
CP_201711,Semibalanus cariosus,126
CP_201711,Skeletonema cf. pseudocostatum,3
CP_201711,Skeletonema japonicum,8
CP_201711,Smithora naiadum,39
CP_201711,Smithora sp. 1naiadum,3
CP_201711,Stelligera rigida,43
CP_201711,Strongylocentrotus droebachiensis,40
CP_201711,Thalassionema nitzschioides,26
CP_201711,Thalassiosira nordenskioeldii,3063
CP_201711,Thecamonas trahens,2
CP_201711,Thelepus crispus,755
CP_201711,NA,160296
CP_201801,Amathia vidovici,4409
CP_201801,Asterionellopsis guyunusae,52
CP_201801,Balanus glandula,343
CP_201801,Bathycoccus prasinos,28682
CP_201801,Calanus pacificus,455
CP_201801,Centropages abdominalis,234
CP_201801,Chattonella subsalsa,459
CP_201801,Chthamalus dalli,127
CP_201801,Coscinodiscus wailesii,112
CP_201801,Dendraster excentricus,11
CP_201801,Dictyocha speculum,16
CP_201801,Ditylum brightwellii,48
CP_201801,Emiliania huxleyi,384
CP_201801,Emplectonema sp. 1 TCH-2015,281
CP_201801,Fucus distichus,137
CP_201801,Grammonema striatula,16
CP_201801,Heterocapsa rotundata,589
CP_201801,Hildenbrandia sp. 27GWS,287
CP_201801,Hincksia hincksiae,40
CP_201801,Homo sapiens,36
CP_201801,Laminariocolax aecidioides,254
CP_201801,Leathesia marina,42
CP_201801,Lottia paradigitalis,126
CP_201801,Micromonas pusilla,9505
CP_201801,Minutocellus polymorphus,10116
CP_201801,Navicula glaciei,33
CP_201801,Navicula sp. BOLD:AAO6951,77
CP_201801,Nicolea zostericola,84
CP_201801,Ophelina acuminata,117
CP_201801,Ostrea lurida,809
CP_201801,Parvamoeba rugata,252
CP_201801,Penicillium rubens,98
CP_201801,Phaeocystis antarctica,11490
CP_201801,Phaeocystis globosa,40
CP_201801,Phytophthora riparia,18
CP_201801,Pinnularia sp. 5 CS-2011,408
CP_201801,Poteriospumella lacustris,5
CP_201801,Pseudocalanus newmani,329
CP_201801,Pycnococcus provasolii,55
CP_201801,Pyramimonas parkeae,50
CP_201801,Pyropia fallax,39
CP_201801,Ralfsioid sp. 4GWS,5
CP_201801,Rhizosolenia setigera,1300
CP_201801,Thalassionema nitzschioides,635
CP_201801,Thalassiosira nordenskioeldii,1977
CP_201801,Thalassiosira punctigera,33
CP_201801,Thelepus crispus,1862
CP_201801,NA,125948
CP_201803,Acartia longiremis,4809
CP_201803,Acrochaetium arcuatum,26
CP_201803,Apodachlya minima,20
CP_201803,Attheya longicornis,6
CP_201803,Balanus balanus,27979
CP_201803,Balanus glandula,871
CP_201803,Bathycoccus prasinos,47432
CP_201803,Chattonella subsalsa,675
CP_201803,Chordariaceae sp. 17 AP-2014,14
CP_201803,Chthamalus dalli,3739
CP_201803,Cliona chilensis,25
CP_201803,Corallina vancouveriensis,817
CP_201803,Cylindrotheca closterium,520
CP_201803,Dictyocha speculum,31
CP_201803,Ditylum brightwellii,566
CP_201803,Ectocarpus siliculosus,26
CP_201803,Emiliania huxleyi,12
CP_201803,Enophrys bison,1545
CP_201803,Fucus distichus,69
CP_201803,Gomphonema clevei,1
CP_201803,Grammonema striatula,778
CP_201803,Halichondria panicea,25065
CP_201803,Hecatonema maculans,40
CP_201803,Heterocapsa rotundata,398
CP_201803,Hildenbrandia sp. 27GWS,582
CP_201803,Hincksia hincksiae,378
CP_201803,Homo sapiens,748
CP_201803,Littorina scutulata,119
CP_201803,Lottia paradigitalis,11334
CP_201803,Mazzaella rosea,53
CP_201803,Mazzaella splendens,88
CP_201803,Micromonas pusilla,21775
CP_201803,Minutocellus polymorphus,6871
CP_201803,Navicula cryptocephala,36
CP_201803,Navicula glaciei,147
CP_201803,Navicula sp. BOLD:AAO6950,12
CP_201803,Navicula sp. BOLD:AAO6951,1477
CP_201803,Neorhodomela oregona,18
CP_201803,Nicolea zostericola,36
CP_201803,Nitzschia cf. promare,1918
CP_201803,Oligocottus maculosus,332
CP_201803,Orthocladius sp. BOLD-2016,11
CP_201803,Paramoeba pemaquidensis,21
CP_201803,Petalonia fascia,12
CP_201803,Phaeocystis antarctica,61332
CP_201803,Polysiphonia hendryi,164
CP_201803,Poteriospumella lacustris,186
CP_201803,Protoperidinium cf. depressum,29
CP_201803,Pseudo-nitzschia delicatissima,103
CP_201803,Pseudocalanus mimus,1021
CP_201803,Pseudocalanus moultoni,82
CP_201803,Pterosiphonia bipinnata,9
CP_201803,Pycnococcus provasolii,286
CP_201803,Pyramimonas parkeae,155
CP_201803,Pyropia fallax,53
CP_201803,Pythium tracheiphilum,66
CP_201803,Ralfsioid sp. 4GWS,2360
CP_201803,Rhizosolenia setigera,2250
CP_201803,Sellaphora pupula,18
CP_201803,Semibalanus cariosus,1911
CP_201803,Skeletonema dohrnii,1119
CP_201803,Smithora sp. 1naiadum,868
CP_201803,Stelligera rigida,31
CP_201803,Strongylocentrotus droebachiensis,610
CP_201803,Thalassionema nitzschioides,332
CP_201803,Thalassiosira nordenskioeldii,4702
CP_201803,Thalassiosira punctigera,49
CP_201803,Thecamonas trahens,74
CP_201803,Thelepus crispus,133
CP_201803,Thelepus sp. CMC01,229
CP_201803,Triparma laevis,513
CP_201803,Tylos sp. clade D MM-2013,25
CP_201803,Wildemania sp. 5POR,96
CP_201803,NA,226436
CP_201805,Acartia californiensis,1485
CP_201805,Acartia longiremis,5427
CP_201805,Acrochaetium arcuatum,15
CP_201805,Aequorea sp. MW-2012,342
CP_201805,Aphanomyces sp. BOLD:AAO9952,76
CP_201805,Apodachlya minima,434
CP_201805,Asterionellopsis glacialis,73
CP_201805,Asterionellopsis tropicalis,125
CP_201805,Attheya longicornis,317
CP_201805,Aurelia labiata,2159
CP_201805,Balanus balanus,7450
CP_201805,Balanus glandula,81
CP_201805,Bathycoccus prasinos,2524
CP_201805,Boccardia proboscidea,214
CP_201805,Brachionidae sp. SHYT150702c,513
CP_201805,Centropages abdominalis,2938
CP_201805,Chaetoceros socialis,297
CP_201805,Chattonella subsalsa,2437
CP_201805,Chondracanthus exasperatus,406
CP_201805,Chrysochromulina sp. CCMP291,102
CP_201805,Chthamalus dalli,85
CP_201805,Clytia folleata,34
CP_201805,Clytia gracilis,291
CP_201805,Corallina vancouveriensis,181
CP_201805,Cylindrotheca closterium,1645
CP_201805,Cylindrotheca fusiformis,21
CP_201805,Devaleraea mollis,704
CP_201805,Dictyocha speculum,69
CP_201805,Ditylum brightwellii,953
CP_201805,Emplectonema sp. 1 TCH-2015,56
CP_201805,Enophrys bison,1602
CP_201805,Euclymene sp. BOLD:ACG1020,2676
CP_201805,Fistulifera solaris,13
CP_201805,Fucus distichus,453
CP_201805,Gomphonema clevei,79
CP_201805,Grammonema striatula,3444
CP_201805,Halichondria panicea,4196
CP_201805,Halidrys siliquosa,7
CP_201805,Hecatonema maculans,78
CP_201805,Hematodinium sp.,61
CP_201805,Heterocapsa rotundata,1187
CP_201805,Hildenbrandia sp. 27GWS,945
CP_201805,Homo sapiens,1739
CP_201805,Laminariocolax aecidioides,89
CP_201805,Littorina plena,146
CP_201805,Mazzaella rosea,220
CP_201805,Mazzaella sp. GWS-2013b,412
CP_201805,Mazzaella splendens,3379
CP_201805,Micromonas pusilla,14100
CP_201805,Minutocellus polymorphus,4018
CP_201805,Nanomia bijuga,22
CP_201805,Navicula cryptocephala,157
CP_201805,Navicula sp. BOLD:AAO6951,96
CP_201805,Nereis vexillosa,485
CP_201805,Nereocystis luetkeana,72
CP_201805,Nicolea zostericola,127
CP_201805,Nitzschia cf. promare,551
CP_201805,Obelia bidentata,123
CP_201805,Odonthalia floccosa,363
CP_201805,Oligocottus maculosus,978
CP_201805,Paramoeba pemaquidensis,53
CP_201805,Parvamoeba rugata,65
CP_201805,Phaeocystis antarctica,3827
CP_201805,Phaeocystis globosa,32
CP_201805,Phytophthora multivora,147
CP_201805,Pinnularia sp. 5 CS-2011,1626
CP_201805,Pisaster ochraceus,550
CP_201805,Placoneis sp. WJS-2015a,8
CP_201805,Plagiogramma sp. IAL-2014a,57
CP_201805,Polysiphonia hendryi,895
CP_201805,Poteriospumella lacustris,9
CP_201805,Prionitis sternbergii,1781
CP_201805,Protoperidinium cf. depressum,200
CP_201805,Pseudo-nitzschia delicatissima,2911
CP_201805,Pseudo-nitzschia hasleana,22
CP_201805,Pseudocalanus moultoni,7
CP_201805,Pseudocalanus newmani,195
CP_201805,Pterosiphonia bipinnata,1099
CP_201805,Pycnococcus provasolii,136
CP_201805,Pyramimonas parkeae,233
CP_201805,Pyropia fallax,1158
CP_201805,Pyropia perforata,7
CP_201805,Pythium pachycaule,201
CP_201805,Pythium tracheiphilum,539
CP_201805,Ralfsioid sp. 4GWS,78
CP_201805,Rhizosolenia setigera,13137
CP_201805,Sellaphora bacillum,133
CP_201805,Semibalanus cariosus,4681
CP_201805,Skeletonema cf. pseudocostatum,39
CP_201805,Skeletonema dohrnii,37
CP_201805,Skeletonema japonicum,653
CP_201805,Smithora naiadum,203
CP_201805,Smithora sp. 1naiadum,23
CP_201805,Synchaeta pectinata,3
CP_201805,Thalassionema nitzschioides,1094
CP_201805,Thalassiosira nordenskioeldii,32661
CP_201805,Thecamonas trahens,2
CP_201805,Triparma laevis,2740
CP_201805,Wildemania amplissima,5
CP_201805,Wildemania sp. 5POR,2527
CP_201805,Wildemania sp. HK-2011,277
CP_201805,NA,233090
CP_201807,Acartia longiremis,10011
CP_201807,Acrochaetium arcuatum,109
CP_201807,Amathia vidovici,143
CP_201807,Ammodytes hexapterus,889
CP_201807,Apodachlya minima,18
CP_201807,Azumapecten farreri,22
CP_201807,Balanus balanus,18
CP_201807,Balanus glandula,22873
CP_201807,Bathycoccus prasinos,22104
CP_201807,Blastocladiella emersonii,34
CP_201807,Boccardia proboscidea,40
CP_201807,Chaetoceros socialis,19
