location,length,armored ,,,,
SA,180,0,,,,
SA,344,0,,,,
SA,175,0,,,,
SA,138,0,,,,
SA,374,0,,,,
SA,97,97,,,,
SA,22,0,,,,
SA,60,60,,,,
SA,434,434,,,,
SA,143,0,,,,
SA,148,148,,,,
SA,68,0,,,,
SA,44,44,,,,
SA,111,111,,,,
SA,161,161,,,,
SA,132,0,,,,
SA,190,190,,,,
SA,170,0,,,,
SA,255,0,,,,
SA,621,0,,3867,1245,0.321955004
SA,,,,,,
SA,,,,,,
SA,,,,,,
SA,,,,,,
SA,,,,,,
SA,,,,,,
SA,,,,,,
SA,,,,,,
SA,,,,,,
SA,,,,,,
